,,,,,,,,
anonimized ID,First Name,Middle Name,Last Name,Email,Teaching before 9:00 am.,Teaching after 3:00 pm.,"Is there anything else we should be aware of regarding your teaching load (special course reduction, ...)",Number of courses to assign
2755728,Emily,J,Smith,emily.smith@tamu.edu,0,0,,1
672598,Michael,D,Johnson,michael.johnson@tamu.edu,0,0,,3
670246,Sarah,A,Brown,sarah.brown@tamu.edu,1,0,,1
2476413,Christopher,R,Jones,christopher.jones@tamu.edu,1,0,,2
2332341,Amanda,L,Garcia,amanda.garcia@tamu.edu,0,0,,3
1295464,David,T,Miller,david.miller@tamu.edu,1,0,,2
1152574,Jessica,N,Davis,jessica.davis@tamu.edu,0,0,,2
2036178,Matthew,K,Wilson,matthew.wilson@tamu.edu,1,0,,3
48906,Jennifer,M,Martinez,jennifer.martinez@tamu.edu,0,0,,1
676911,Daniel,C,Anderson,daniel.anderson@tamu.edu,0,0,,2
749735,Ashley,P,Taylor,ashley.taylor@tamu.edu,1,1,,2
2938931,James,E,Thomas,james.thomas@tamu.edu,1,0,,3
674610,Megan,B,Hernandez,megan.hernandez@tamu.edu,1,0,,3
672529,Andrew,S,Moore,andrew.moore@tamu.edu,0,0,,2
424079,Lauren,F,Martin,lauren.martin@tamu.edu,0,0,,3
2202367,Joseph,G,White,joseph.white@tamu.edu,0,0,,1
670859,Rachel,Q,Lee,rachel.lee@tamu.edu,1,0,,3
713579,Ryan,V,Harris,ryan.harris@tamu.edu,0,0,,3
617243,Michelle,R,Clark,michelle.clark@tamu.edu,0,0,,3
2472710,Brian,W,Lewis,brian.lewis@tamu.edu,0,0,,1
939540,Samantha,Z,Young,samantha.young@tamu.edu,1,0,,3
1636277,Adam,O,Allen,adam.allen@tamu.edu,0,0,,1
667061,Elizabeth,U,King,elizabeth.king@tamu.edu,0,0,,2
233153,Nicholas,H,Wright,nicholas.wright@tamu.edu,0,0,,2
2332340,Rebecca,C,Scott,rebecca.scott@tamu.edu,0,0,,2
676913,Justin,L,Green,justin.green@tamu.edu,1,1,,1
487444,Stephanie,D,Adams,stephanie.adams@tamu.edu,1,0,,2
2623488,Aaron,M,Baker,aaron.baker@tamu.edu,1,0,,2
118480,Christina,I,Gonzalez,christina.gonzalez@tamu.edu,0,0,,2
2944519,Brandon,J,Nelson,brandon.nelson@tamu.edu,1,1,,1
673660,Brittany,N,Carter,brittany.carter@tamu.edu,0,0,,1
2957849,Joshua,T,Mitchell,joshua.mitchell@tamu.edu,0,0,,3
2938933,Victoria,E,Perez,victoria.perez@tamu.edu,1,0,,3
555614,Zachary,W,Roberts,zachary.roberts@tamu.edu,0,0,,2
2938934,Amber,S,Turner,amber.turner@tamu.edu,1,0,,3
676785,Benjamin,Q,Phillips,benjamin.phillips@tamu.edu,1,0,,2
617634,Melissa,R,Campbell,melissa.campbell@tamu.edu,1,0,,3
305257,Tyler,F,Parker,tyler.parker@tamu.edu,1,0,,1
2332343,Kimberly,D,Evans,kimberly.evans@tamu.edu,0,0,,2
675964,Eric,L,Edwards,eric.edwards@tamu.edu,0,0,,2
64785,Katherine,C,Collins,katherine.collins@tamu.edu,1,0,,2
670154,Sean,M,Stewart,sean.stewart@tamu.edu,0,0,,1
2755727,Heather,A,Sanchez,heather.sanchez@tamu.edu,0,0,,2
1740388,Kevin,B,Morris,kevin.morris@tamu.edu,1,1,,1
100615,Rebecca,O,Rogers,rebecca.rogers@tamu.edu,0,1,,1
2708588,Nathan,W,Reed,nathan.reed@tamu.edu,1,0,,2
3103405,Cynthia,P,Cook,cynthia.cook@tamu.edu,0,0,,1
3178380,Steven,G,Morgan,steven.morgan@tamu.edu,1,0,,2
2200830,Angela,K,Bell,angela.bell@tamu.edu,1,0,,2
667690,Alex,Z,Murphy,alex.murphy@tamu.edu,1,0,,2
667624,Megan,Q,Bailey,megan.bailey@tamu.edu,1,0,,3
2938935,Evan,R,Rivera,evan.rivera@tamu.edu,1,0,,3
3099007,Brittany,J,Cooper,brittany.cooper@tamu.edu,1,0,,2
2392253,Anthony,L,Richardson,anthony.richardson@tamu.edu,1,1,,3
673362,Brooke,V,Cox,brooke.cox@tamu.edu,0,0,,1
669904,John,C,Howard,john.howard@tamu.edu,1,0,,1
672480,Stephanie,I,Ward,stephanie.ward@tamu.edu,1,0,,3
516097,Patrick,T,Torres,patrick.torres@tamu.edu,0,0,,1
301656,Allison,N,Peterson,allison.peterson@tamu.edu,1,0,,2
2188757,Connor,M,Gray,connor.gray@tamu.edu,0,0,,3
667603,Jacqueline,S,Ramirez,jacqueline.ramirez@tamu.edu,1,1,,3
1636279,Andrew,D,James,andrew.james@tamu.edu,1,0,,3
131784,Olivia,U,Watson,olivia.watson@tamu.edu,1,1,,3
3253135,Jason,F,Brooks,jason.brooks@tamu.edu,0,0,,3
1636280,Caroline,E,Kelly,caroline.kelly@tamu.edu,0,1,,2
2274553,Dylan,O,Sanders,dylan.sanders@tamu.edu,0,0,,1
3242193,Natalie,K,Price,natalie.price@tamu.edu,0,0,,1
3233114,Jared,V,Bennett,jared.bennett@tamu.edu,0,0,,1
672510,Christina,W,Wood,christina.wood@tamu.edu,0,0,,3
1300757,Ethan,J,Barnes,ethan.barnes@tamu.edu,0,0,,2
3242194,Nicole,Z,Ross,nicole.ross@tamu.edu,0,0,,1
193825,Tyler,A,Henderson,tyler.henderson@tamu.edu,0,0,,1
